EmpID,FullName,Department,Gender,Country,Age,Joining_Date,Salary,Performance,Product,Quantity,Price,Sale_Date
1001,Pamela Fuller,Marketing,Male,Germany,28,10-05-2022,123204,Average,Tablet,11,132,03-10-2023
1002,Samantha Rios,Sales,Female,India,60,02-04-2020,116516,Poor,Camera,11,104,30-10-2024
1003,Erin Lloyd,Finance,Male,UK,57,01-02-2023,138251,Excellent,Laptop,4,1647,14-03-2024
1004,Ashley Hudson,Finance,Female,UK,42,05-04-2020,68976,Excellent,Headphones,9,77,27-06-2025
1005,Richard Sanchez,IT,Male,Germany,34,21-03-2023,147488,Good,Camera,5,1319,09-02-2024
1006,Kristen Daniels,IT,Male,India,39,24-09-2022,69943,Good,Camera,11,567,16-11-2024
1007,Sara Austin,Marketing,Male,USA,41,20-10-2015,114802,Average,Mobile,10,1942,28-02-2024
1008,Edward Berg,Finance,Male,Germany,30,08-12-2022,73301,Average,Laptop,6,520,16-06-2024
1009,Kevin Johnson,HR,Male,USA,42,24-06-2017,140343,Good,Tablet,5,1045,11-10-2024
1010,Lance Moore,Sales,Female,USA,41,11-06-2022,98559,Average,Laptop,10,54,19-12-2023
1011,Kara Phillips,Finance,Male,USA,26,22-02-2023,101318,Good,Mobile,10,422,15-01-2025
1012,Melanie Koch,IT,Female,India,53,01-10-2015,95440,Excellent,Laptop,11,1857,13-06-2024
1013,Mr. Gary Reyes,HR,Male,UK,26,23-07-2025,100195,Excellent,Headphones,3,1177,27-11-2024
1014,James Camacho,HR,Female,Germany,54,21-11-2017,83443,Average,Tablet,2,693,01-05-2025
1015,James Sheppard,Sales,Female,USA,48,15-08-2025,147720,Good,Tablet,15,1023,12-05-2024
1016,Deanna Hughes,IT,Male,Canada,35,27-09-2020,62744,Good,Mobile,6,1556,16-12-2023
1017,Cassie Thomas,IT,Male,Germany,46,30-09-2020,117981,Good,Tablet,12,649,11-01-2025
1018,Jennifer Brown,Sales,Male,UK,45,11-02-2021,131711,Average,Headphones,10,348,11-05-2025
1019,William Phillips,HR,Male,USA,36,24-10-2019,137228,Excellent,Laptop,6,1212,25-07-2024
1020,Rebecca Terry,Finance,Male,USA,34,08-11-2023,76095,Average,Camera,5,263,27-08-2025
1021,Sean Jones,IT,Male,India,33,05-08-2016,62206,Good,Camera,7,1823,09-06-2025
1022,Douglas Johnson,Sales,Male,Canada,49,05-12-2018,49438,Excellent,Camera,5,1401,06-06-2024
1023,Susan Banks,Marketing,Female,USA,57,19-11-2015,133540,Poor,Headphones,2,1283,05-05-2025
1024,Alex Hernandez,HR,Female,Canada,26,14-07-2024,60794,Excellent,Camera,13,1086,27-01-2024
1025,David Torres,Marketing,Female,UK,33,14-07-2019,60002,Poor,Tablet,10,802,20-02-2025
1026,Cynthia Harris,Sales,Female,India,49,20-06-2020,108585,Poor,Headphones,13,1312,09-09-2025
1027,Stephanie Copeland DVM,HR,Female,Germany,28,30-09-2018,58292,Poor,Laptop,7,1291,09-11-2023
1028,Brian Perez,HR,Female,India,48,29-06-2025,131649,Excellent,Laptop,3,442,23-02-2025
1029,Joseph Johnson,Marketing,Male,USA,48,03-06-2021,119744,Poor,Laptop,15,638,27-08-2024
1030,Jason Kline,Finance,Female,Canada,60,22-04-2024,78167,Excellent,Camera,1,1407,04-06-2025
1031,Andrew Anderson,Marketing,Female,UK,57,03-11-2016,130685,Excellent,Tablet,14,1471,06-05-2024
1032,Melissa Mcfarland,IT,Male,Germany,23,13-06-2018,36100,Average,Tablet,11,814,21-01-2024
1033,Julian Austin,Marketing,Male,UK,52,30-11-2020,63624,Poor,Mobile,2,349,23-05-2024
1034,Elaine Raymond,Finance,Female,USA,54,05-07-2016,77903,Poor,Tablet,8,1532,01-09-2024
1035,Glenn Case,Marketing,Female,Canada,51,07-03-2024,138018,Good,Camera,12,375,15-10-2023
1036,Richard Morgan,Sales,Male,Canada,51,04-06-2019,142692,Excellent,Camera,5,1798,29-09-2024
1037,April Jensen,Finance,Female,USA,43,04-03-2021,89606,Excellent,Headphones,5,1991,10-04-2025
1038,Cynthia Kennedy,HR,Female,Canada,57,13-06-2025,51694,Average,Tablet,10,1678,20-11-2023
1039,Omar Lewis,Marketing,Female,Canada,51,16-06-2020,95655,Good,Mobile,1,1686,19-11-2024
1040,Vincent Johnson,Sales,Male,USA,46,14-10-2024,66782,Average,Headphones,1,1386,18-01-2025
1041,Casey Huff,Sales,Male,USA,49,23-09-2018,78410,Poor,Headphones,1,1647,24-05-2024
1042,Brandon Richardson,Finance,Female,India,27,01-04-2019,126102,Poor,Camera,12,1998,10-05-2025
1043,Todd Hubbard,Sales,Male,India,31,11-10-2020,93702,Good,Laptop,3,622,30-11-2024
1044,Tina Richmond,Marketing,Female,India,21,19-01-2020,50773,Poor,Laptop,4,645,23-02-2025
1045,Donna Kelly,Marketing,Male,Canada,41,22-03-2023,53322,Poor,Headphones,14,1887,22-04-2024
1046,Cody Snow,Marketing,Male,Germany,44,18-04-2019,40561,Poor,Laptop,12,517,18-10-2023
1047,Dr. Jessica Bryant,IT,Female,Canada,23,15-11-2015,122799,Excellent,Headphones,14,1647,17-04-2024
1048,Brian Price,Finance,Male,Canada,27,04-02-2021,123790,Good,Laptop,14,1058,14-08-2024
1049,Alyssa Lucero,IT,Male,USA,46,02-11-2017,142742,Average,Mobile,13,1142,26-10-2024
1050,Amy Wilson,Marketing,Male,Canada,35,16-09-2021,121786,Poor,Tablet,7,978,17-11-2023
1051,Kelly Carpenter,Finance,Female,USA,53,06-01-2020,116845,Good,Laptop,1,1615,20-10-2023
1052,Grace Johnson,Sales,Male,UK,43,07-03-2023,147290,Average,Mobile,2,999,09-11-2024
1053,Donna Cruz,Finance,Male,UK,40,30-03-2016,147736,Good,Headphones,6,932,09-02-2025
1054,Ashley Bell,Sales,Male,UK,36,19-10-2023,110313,Poor,Laptop,15,288,28-02-2024
1055,Ryan Rice,IT,Female,Germany,43,05-09-2021,47076,Poor,Tablet,13,549,28-04-2024
1056,Denise Fox,Sales,Male,India,60,24-10-2015,83325,Good,Camera,12,1378,12-02-2024
1057,Christina Ruiz,IT,Male,India,29,18-11-2020,86031,Good,Mobile,4,1833,05-11-2024
1058,Brianna Collins,Sales,Male,Canada,51,12-09-2020,121957,Poor,Mobile,14,366,29-08-2024
1059,David Harmon,Finance,Male,Canada,54,13-10-2020,116322,Good,Camera,5,928,16-08-2024
1060,James Church,IT,Male,UK,21,18-11-2024,99731,Good,Camera,6,583,29-09-2024
1061,Christopher Grant,IT,Female,UK,33,10-03-2023,133604,Good,Mobile,13,1988,12-05-2025
1062,Alison Walker,HR,Female,USA,58,08-04-2024,98213,Average,Mobile,12,919,27-05-2025
